年月,銀行,銀行類別,項目,數值,英文欄位
10008,香港東亞銀行,外國銀行在台分行,公司支存餘額,12000000,C_Cd_Bal
10008,香港東亞銀行,外國銀行在台分行,個人支存戶數,4,P_Cd_Cnt
10008,香港東亞銀行,外國銀行在台分行,個人支存餘額,27000000,P_Cd_Bal
10008,香港東亞銀行,外國銀行在台分行,其他支存戶數,0,O_Cd_Cnt
10008,香港東亞銀行,外國銀行在台分行,其他支存餘額,0,O_Cd_Bal
10008,美商摩根大通銀行,外國銀行在台分行,公司支存戶數,32,C_Cd_Cnt
10008,美商摩根大通銀行,外國銀行在台分行,公司支存餘額,396000000,C_Cd_Bal
10008,美商摩根大通銀行,外國銀行在台分行,個人支存戶數,0,P_Cd_Cnt
10008,美商摩根大通銀行,外國銀行在台分行,個人支存餘額,0,P_Cd_Bal
10008,美商摩根大通銀行,外國銀行在台分行,其他支存戶數,1,O_Cd_Cnt
10008,美商摩根大通銀行,外國銀行在台分行,其他支存餘額,0,O_Cd_Bal
10008,新加坡商星展銀行,外國銀行在台分行,公司支存戶數,19972,C_Cd_Cnt
10008,新加坡商星展銀行,外國銀行在台分行,公司支存餘額,380000000,C_Cd_Bal
10008,新加坡商星展銀行,外國銀行在台分行,個人支存戶數,24294,P_Cd_Cnt
10008,新加坡商星展銀行,外國銀行在台分行,個人支存餘額,163000000,P_Cd_Bal
10008,新加坡商星展銀行,外國銀行在台分行,其他支存戶數,88,O_Cd_Cnt
10008,新加坡商星展銀行,外國銀行在台分行,其他支存餘額,174000000,O_Cd_Bal
10008,法商法國巴黎銀行,外國銀行在台分行,公司支存戶數,55,C_Cd_Cnt
10008,法商法國巴黎銀行,外國銀行在台分行,公司支存餘額,114000000,C_Cd_Bal
10008,法商法國巴黎銀行,外國銀行在台分行,個人支存戶數,9,P_Cd_Cnt
10008,法商法國巴黎銀行,外國銀行在台分行,個人支存餘額,9000000,P_Cd_Bal
10008,法商法國巴黎銀行,外國銀行在台分行,其他支存戶數,0,O_Cd_Cnt
10008,法商法國巴黎銀行,外國銀行在台分行,其他支存餘額,0,O_Cd_Bal
10008,英商渣打銀行,外國銀行在台分行,公司支存戶數,0,C_Cd_Cnt
10008,英商渣打銀行,外國銀行在台分行,公司支存餘額,0,C_Cd_Bal
10008,英商渣打銀行,外國銀行在台分行,個人支存戶數,0,P_Cd_Cnt
10008,英商渣打銀行,外國銀行在台分行,個人支存餘額,0,P_Cd_Bal
10008,英商渣打銀行,外國銀行在台分行,其他支存戶數,0,O_Cd_Cnt
10008,英商渣打銀行,外國銀行在台分行,其他支存餘額,0,O_Cd_Bal
10008,新加坡商新加坡華僑銀行,外國銀行在台分行,公司支存戶數,0,C_Cd_Cnt
10008,新加坡商新加坡華僑銀行,外國銀行在台分行,公司支存餘額,0,C_Cd_Bal
10008,新加坡商新加坡華僑銀行,外國銀行在台分行,個人支存戶數,0,P_Cd_Cnt
10008,新加坡商新加坡華僑銀行,外國銀行在台分行,個人支存餘額,0,P_Cd_Bal
